,arr_city,dept_city,leg_id,price,stops,total_time_mins,arr_city_coords,dept_city_coords
164,Cusco,San Francisco,fb7149926e091b5b92ef03b254760a7d,4931.0,2,679,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
165,Cusco,San Francisco,c58db1c0b249855a0f682501d1d85ea1,0.0,2,679,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
166,Cusco,San Francisco,ad2907311f7354e8e989dcc2ab28095d,746.0,2,662,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
167,San Francisco,Cusco,f1e459e75785508b0db13eb7a2fba1c2,982.0,2,696,"(37.7749295, -122.4194155)","(-13.53195, -71.96746259999999)"
168,Cusco,San Francisco,6ceb27bec101aecc3934ca81f3364f22,1127.0,2,717,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
169,San Francisco,Cusco,b0c9f38a3f7e0623fdfbdda1ff7aad22,924.0,2,740,"(37.7749295, -122.4194155)","(-13.53195, -71.96746259999999)"
170,Cusco,San Francisco,86283da622a0a1a40bff7a779384557a,1006.0,2,715,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
171,San Francisco,Cusco,8443ce93a60f32b9802ad178e043f647,982.0,2,696,"(37.7749295, -122.4194155)","(-13.53195, -71.96746259999999)"
172,Cusco,San Francisco,da90f5755517c27e934ac7486a427b90,1063.0,2,715,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
173,Cusco,San Francisco,7708ced3f78c7164358b1384a1b997d4,982.0,2,681,"(-13.53195, -71.96746259999999)","(37.7749295, -122.4194155)"
174,Boston,San Francisco,649ac23fd609054563bf1aeef99e02af,492.0,1,441,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
175,Boston,San Francisco,894da218b189b5355409cf1942046f85,356.0,1,435,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
176,Boston,San Francisco,26177682fb4225cca7d0f3994ed61581,466.0,1,373,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
177,Boston,San Francisco,f577df8387f7579deed9c31508f3b8f1,504.0,0,348,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
178,Boston,San Francisco,c71390eafa35c27eda2494809dda6465,437.0,0,360,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
179,Boston,San Francisco,f3add2d7c32d03d4258b71fab84d8bbd,397.0,1,440,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
180,Boston,San Francisco,2e13734decb2050925bed320b269c27b,466.0,1,403,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
181,Boston,San Francisco,5f8f2a7b98b557e98002fb9dca141149,466.0,1,399,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
182,Boston,San Francisco,5d209a866818a12ad0b895c012e0e8c6,579.0,1,414,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
183,Boston,San Francisco,404fd5b9415194ea6edfa485655d1e5d,354.0,1,402,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
184,Boston,San Francisco,79cf6e748470cfa8482bf44167a31662,403.0,1,463,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
185,Boston,San Francisco,e63a3b0fce5c2c50d309bcf108183f23,466.0,1,383,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
186,Boston,San Francisco,ec4c72562a949d52f0c1d7490cbf84d7,500.0,1,430,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
187,Boston,San Francisco,5e37edda23cf67c812ca78a821961bd0,587.0,1,414,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
188,Boston,San Francisco,31b2f7a700e23a72af560441120af535,674.0,1,390,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
189,Boston,San Francisco,e0ebbbb834b73fb2f3266ab7c5f62c2b,470.0,1,417,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
190,Boston,San Francisco,eb9ab21789e2682540567aa868bd0fb4,450.0,1,434,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
191,Boston,San Francisco,d01ce7593a13ae87f2d6a03f4adca99b,520.0,1,454,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
192,Boston,San Francisco,e2597b8ccc908cadf9251848a710d1f0,599.0,1,447,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
193,Boston,San Francisco,6f7faacc69ec70172aa612c5193b1bcf,1055.0,2,516,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
194,Boston,San Francisco,ffcc691001ed5fa03a46a9a22542abd1,449.0,1,440,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
195,Boston,San Francisco,e3deab2117e5667f0972a6bb1d829339,465.0,1,435,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
196,Boston,San Francisco,f43c6eba86421cda02a6e41dd2d8229a,530.0,1,441,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
197,Boston,San Francisco,a4cefad21a43c5ea9b9a74871dbb1b88,404.0,1,437,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
198,Boston,San Francisco,3e3a3ba3f4c01d31451d689ebd5ef124,470.0,1,441,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
199,Boston,San Francisco,82e7526e8565589bc384f91cabfa22b2,367.0,0,336,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
200,Boston,San Francisco,6e03eb14b5dcc2945f3ad188b5f6d226,466.0,1,430,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
201,Boston,San Francisco,fe9a0dd5ac77316e471908a9388f3c7d,498.0,0,351,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
202,Boston,San Francisco,c8b272818973f3993cb5ab870e728b0a,521.0,1,427,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
203,San Francisco,Boston,1da39cdc84ca7dde69a6225709d21884,339.0,0,396,"(37.7749295, -122.4194155)","(42.3600825, -71.0588801)"
204,Boston,San Francisco,441beb52aa7b4c34ef5a0e33ac952d21,367.0,0,338,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
205,Boston,San Francisco,2560c8059b9816cbf4d525c14efbe2d4,450.0,1,427,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
206,Boston,San Francisco,733e16fbb157ac8b1734a9adb5d26b3e,716.0,1,431,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
207,Boston,San Francisco,e505f3c794d35f8d33e533267a3d4370,364.0,0,348,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
208,Boston,San Francisco,499dc237eb8dc8c6b7beddf589093dfe,450.0,1,412,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
209,Boston,San Francisco,02c8fe4213a04a53b343a86616f9a1c2,671.0,2,462,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
210,Boston,San Francisco,1a01a262ece6487f4ca8248dc33f100a,467.0,1,389,"(42.3600825, -71.0588801)","(37.7749295, -122.4194155)"
