,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
75,SYD,Sydney,SFO,San Francisco,1,34,"[1, 13, 1]","[34, 45, 35]",2eaa952874f235db86652c899f1cb6d2,944.0,2,15,114,900,1014,1559791859.079683
76,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",22d1ce75a7e9a038e85cea5ea5bd6867,933.0,1,16,55,960,1015,1559791859.079683
77,SYD,Sydney,SFO,San Francisco,14,55,[14],[55],4987a5b186ee69b1debfabf0b8e1b237,855.0,0,14,55,840,895,1559791859.079683
78,SYD,Sydney,SFO,San Francisco,1,38,"[1, 15]","[38, 5]",2e493dfa8d25b374a6f1314fe4b7e58d,942.0,1,16,43,960,1003,1559791859.079683
79,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",fda5ca57182b4e6aefd501d43aa8e56c,933.0,1,16,55,960,1015,1559791859.079683
80,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",eee7303574d85f1264be9f13aed8bb7c,942.0,1,16,42,960,1002,1559791859.079683
81,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",a0711b733a2c2be13a2decb0fae74e7c,949.0,1,15,82,900,982,1559791859.079683
82,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",b0713b5fbc7cc4eabd26ee58cb7d51da,942.0,1,16,42,960,1002,1559791859.079683
83,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 0]",856ccc9cb4f3b29afac718c3e3fffdd2,944.0,1,16,34,960,994,1559791859.079683
84,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 5]",7d5ab1e215914c99c969c09c9bb4ed69,860.0,1,16,39,960,999,1559791859.079683
85,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",04839731ddeab879a9315ed58b36b871,942.0,1,16,42,960,1002,1559791859.079683
86,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 31]",55b496530b57e10e8c3d7e16d42f78f6,942.0,1,14,81,840,921,1559791859.079683
87,SYD,Sydney,SFO,San Francisco,3,40,"[3, 17]","[40, 0]",6d599042de18d90bf3860f7643c27e20,944.0,1,20,40,1200,1240,1559791859.079683
88,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",f0cf3fa99e53a5d44321b8b00b1b6fc6,949.0,1,16,42,960,1002,1559791859.079683
89,SYD,Sydney,SFO,San Francisco,1,40,"[1, 15]","[40, 5]",c290a020113e30c77aa4fd4705da5845,862.0,1,16,45,960,1005,1559791859.079683
90,SYD,Sydney,SFO,San Francisco,1,38,"[1, 15]","[38, 5]",f37231d519d9e36ca7295a606df8e2c8,942.0,1,16,43,960,1003,1559791859.079683
91,SYD,Sydney,SFO,San Francisco,3,44,"[3, 17]","[44, 0]",201bd3b7b977a24d384cc6b69ea5094c,936.0,1,20,44,1200,1244,1559791859.079683
92,SYD,Sydney,SFO,San Francisco,14,40,[14],[40],e75d2c1b04516e7479dc89d2bc107e0e,1942.0,0,14,40,840,880,1559791859.079683
93,SYD,Sydney,SFO,San Francisco,1,42,"[1, 15]","[42, 5]",1720ec97a9dc6904d73a4dc2d8d15a7d,860.0,1,16,47,960,1007,1559791859.079683
